date,australia_ret_without_div_aud,france_ret_without_div_eur,germany_ret_without_div_eur,japan_ret_without_div_jpy,switzerland_ret_without_div_chf,uk_ret_without_div_gbp,us_ret_without_div_usd
2017-03-01,0.0173745863,0.016039615,0.0222636631,0.0087989266,0.0297295106,0.0274597652,0.030496
2017-04-01,0.0247540407,0.0546210339,0.0325681394,-0.013350814,0.018320564,0.0120661693,0.000191
2017-05-01,0.0059649687,0.0361004316,0.0131499254,0.0116113019,0.0260066462,-0.001281378,0.008535
2017-06-01,-0.033331235,0.0188526193,0.0080550004,0.0241681132,0.0182637465,0.0400755916,0.006983
2017-07-01,-0.00085282,-0.024244227,-0.025479777,0.0252525947,0.0033930681,-0.030744245,0.00769
2017-08-01,0.0037973696,-0.008060854,-0.007437645,0.00395756,0.0160989814,0.0092708817,0.018893
2017-09-01,-0.000941635,0.0055965561,-0.000720812,0.0002066883,-0.014386118,0.0075741901,-0.000638
2017-10-01,-0.005568312,0.0433680628,0.0581979616,0.0328135309,0.0291401237,-0.004772126,0.022122
2017-11-01,0.0397155319,0.0272194783,0.0284630396,0.0514709342,0.0186807814,0.0141147124,0.01819
2017-12-01,0.0134083718,-0.016285537,-0.01148694,0.0173198173,-0.00084753,-0.021526652,0.024905
2018-01-01,0.0167914114,-0.005089277,-0.000481986,0.0127129309,0.0059847313,0.0431952097,0.010264
2018-02-01,-0.003360814,0.0291968336,0.0209213139,0.012481133,0.0090159168,-0.020276835,0.049625
2018-03-01,-0.007735367,-0.030132588,-0.047194078,-0.036130095,-0.044679476,-0.034041329,-0.041323
2018-04-01,-0.040753538,-0.014106815,-0.022757769,-0.02678473,-0.01991091,-0.021462425,-0.020288
2018-05-01,0.0336542704,0.0600659132,0.0296934562,0.0335658151,0.0203695394,0.0568482131,0.00357
2018-06-01,0.0066610973,-0.012390465,-0.012893854,-0.016161555,-0.038067586,0.0190404112,0.023849
2018-07-01,0.0266794485,-0.027264954,-0.033398709,-0.008257234,0.0226001315,-0.002831833,0.003576
2018-08-01,0.0135331339,0.0240517585,0.0373102399,0.0106071068,0.0455811748,0.0129734925,0.030436
2018-09-01,0.009914579,-0.00573714,-0.020027495,-0.009734504,-0.016391613,-0.035812183,0.027765
2018-10-01,-0.017788328,0.0089074836,-0.01903668,0.0454606637,0.0025802081,0.0047002282,-0.001212
2018-11-01,-0.064488944,-0.071275669,-0.061798255,-0.091894986,-0.023200965,-0.056427818,-0.075113
2018-12-01,-0.035774157,-0.019806166,-0.022296396,0.0263822323,-0.008265446,-0.020609561,0.016171
2019-01-01,-0.007910364,-0.019120178,-0.033774098,-0.102516444,-0.047120011,-0.043578283,-0.092124
2019-02-01,0.0344401028,0.0526610363,0.0583104957,0.0470677331,0.0697805657,0.0447753766,0.087067
2019-03-01,0.0459885361,0.0366599505,0.0204588816,0.0268227868,0.0406929253,0.0205260901,0.030666
2019-04-01,-0.003983675,0.0079553162,-0.000465216,-0.009632715,0.0072446172,0.023778066,0.01114
2019-05-01,0.0236616756,0.043506372,0.0630105817,0.0175263603,0.0304401857,0.0181464052,0.0367
2019-06-01,0.0124835274,-0.062064769,-0.069854622,-0.06127341,-0.027940784,-0.03558228,-0.063898
2019-07-01,0.0319804834,0.0514127304,0.0440261234,0.0236157175,0.0314590788,0.0288670933,0.065283
2019-08-01,0.0312280222,-0.003660049,-0.013071948,0.0109878904,0.0082271169,0.0177116943,0.010702
2019-09-01,-0.027319078,-0.004892238,-0.012676749,-0.031957817,-0.003196831,-0.043100134,-0.022372
2019-10-01,0.0151827239,0.0274530538,0.0310562456,0.0475616221,0.0072594062,0.0299117509,0.014169
2019-11-01,-0.005749973,0.0217958681,0.0405585939,0.0483232945,0.0056199632,-0.013106298,0.018086
2019-12-01,0.0208324974,0.0300025454,0.0325520537,0.0207392942,0.0240775982,0.0180661341,0.032986
2020-01-01,-0.021852089,0.0105306357,0.0069454415,0.011346305,0.0117691418,0.0334416289,0.026242
2020-02-01,0.0465117842,-0.018383087,-0.012746421,-0.020743426,-0.000194425,-0.03009021,-0.002849
2020-03-01,-0.085033033,-0.073310726,-0.08189209,-0.100842189,-0.074188735,-0.093868821,-0.079868
2020-04-01,-0.221394264,-0.161932314,-0.147164373,-0.070388983,-0.075778516,-0.152461983,-0.143685
2020-05-01,0.0971432974,0.0504427511,0.0979444162,0.0437393702,0.0316874063,0.0472617019,0.128408
2020-06-01,0.0482855141,0.0366684144,0.0589206956,0.0686159624,0.0277228152,0.0278673522,0.051688
2020-07-01,0.0218205013,0.0390186373,0.0327684097,-0.001605237,0.0194608529,0.0122797226,0.023522
2020-08-01,0.0099269184,-0.027930478,-0.005076044,-0.037886471,0.0032502179,-0.036863413,0.054411
2020-09-01,0.0324360355,0.0340859475,0.0475428275,0.0780835082,0.0239798745,0.0161329769,0.066798
2020-10-01,-0.037146789,-0.020521973,-0.015064743,0.008518475,0.0030366576,-0.014318639,-0.036515
2020-11-01,0.0196692901,-0.033001062,-0.08076639,-0.027096785,-0.053223891,-0.037024599,-0.021218
2020-12-01,0.0976932083,0.1771280218,0.1327500246,0.1048055792,0.0889047958,0.1201440966,0.122019
2021-01-01,0.0162010784,0.0146020462,0.0402292548,0.0289821164,0.0224790791,0.0354769186,0.043244
2021-02-01,0.0064526457,-0.027899623,0.0001027973,0.0028609928,-0.009146961,-0.006907772,-0.001611
2021-03-01,0.0092500697,0.0515973837,0.018672856,0.0289055052,-0.000343274,0.0109003537,0.027888
2021-04-01,0.0137086818,0.0598841433,0.0725930065,0.0438253543,0.0599401924,0.0429337046,0.029086
2021-05-01,0.0367874563,0.0463487723,0.0076355046,-0.027242001,0.0040064035,0.0394711221,0.047301
2021-06-01,0.0188358431,0.0250511112,0.0160113657,0.0111089237,0.0294182256,0.0102123327,0.005786
2021-07-01,0.0192950568,0.0115346179,0.0145853769,0.0137048168,0.0371911506,-0.00261268,0.022021
2021-08-01,0.0090551949,0.0142385708,0.0056033821,-0.023254736,0.0202670816,0.0058508701,0.010952
2021-09-01,0.022316404,0.003831892,0.0229937765,0.0310017482,0.0226667623,0.0128801324,0.025841
2021-10-01,-0.022524516,-0.02884885,-0.036020721,0.0323338853,-0.056865346,-0.017769511,-0.043531
2021-11-01,0.003314123,0.0589812104,0.018926823,-0.013337749,0.0355674703,0.0109805268,0.06376
2021-12-01,-0.00946284,-0.004142852,-0.029940372,-0.036549703,-0.009939529,-0.020334651,-0.019707
2022-01-01,0.0259812749,0.0446486207,0.0311039502,0.0287976023,0.0599461087,0.0387244832,0.031573
2022-02-01,-0.063893136,-0.03839682,-0.034907932,-0.050832523,-0.059497925,-0.006378848,-0.060568
2022-03-01,0.005965354,-0.048582602,-0.060637912,-0.005779937,-0.018223405,-0.012314665,-0.023121
2022-04-01,0.0659659855,0.0041002905,-0.011899938,0.0312497601,0.0120353806,0.0078150551,0.02894
2022-05-01,-0.003218504,-0.023315303,-0.02300009,-0.022460091,-0.006826441,-0.003737629,-0.090295
2022-06-01,-0.050602806,-0.018129823,-0.006801041,0.0034985175,-0.040145574,-0.001091816,-0.00374
2022-07-01,-0.095509251,-0.071592694,-0.120559962,-0.018272881,-0.078308867,-0.056636146,-0.085822
2022-08-01,0.0645119889,0.1031890402,0.0533931925,0.0385704688,0.0491925638,0.0314397605,0.089287
2022-09-01,0.0094482059,-0.047565756,-0.056077085,0.0116427352,-0.031490364,-0.031211137,-0.037918
2022-10-01,-0.074124918,-0.06280764,-0.083632676,-0.061997787,-0.072495858,-0.063394987,-0.09303
2022-11-01,0.0526949379,0.0690588832,0.0774225852,0.0496223583,0.0437612433,0.0292141429,0.076265
2022-12-01,0.0606354537,0.0827846563,0.0865525739,0.0249135504,0.0441750829,0.0656692443,0.050479
2023-01-01,-0.035193115,-0.040527365,-0.038484093,-0.04759969,-0.030926114,-0.016337279,-0.059152
2023-02-01,0.0622718437,0.097851625,0.0955616021,0.0404120101,0.0587630933,0.0423456953,0.070884
2023-03-01,-0.029804234,0.0155358633,0.0118441789,0.0090826886,-0.01491037,0.0159161344,-0.026252
2023-04-01,-0.013608264,0.0127941256,0.0137970906,0.0046085849,0.0185843219,-0.035813307,0.022043
