date,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd,australia_ret_with_div_usd,australia_ret_without_div_usd,france_ret_with_div_usd,france_ret_without_div_usd,germany_ret_with_div_usd,germany_ret_without_div_usd,japan_ret_with_div_usd,japan_ret_without_div_usd,switzerland_ret_with_div_usd,switzerland_ret_without_div_usd,united kingdom_ret_with_div_usd,united kingdom_ret_without_div_usd
2004-12-01,0.03517,0.033414,0.0016,0.030255434873849962,0.03006839530485972,-0.008368352380896615,-0.009825507943219236,-0.00405547069424117,-0.004188498760562265,0.04783883200000005,0.0473740760000001,0.017120269594083748,0.017120269594083748,-0.007374176127916465,-0.009376432406735358
2005-01-01,-0.026546,-0.027399,0.0016,0.02060020828084208,0.020433031807185476,0.052946179102537405,0.05014755856067965,0.031051108030130115,0.027887407160527067,-0.011534249237113436,-0.011571530886597903,0.05331624996301887,0.05331624996301887,0.03842728320283051,0.03773219624802926
2005-02-01,0.022646,0.02081,0.0016,0.004113128232258179,-0.001667586641935337,0.042964741302536025,0.042913648228656065,0.034021731238208064,0.03397732662857167,0.047192620931578944,0.046884062195789555,0.04596857653962605,0.04588225961911574,0.020517903524434278,0.016636191342838114
2005-03-01,-0.016944,-0.018578,0.0021,-0.01347561631651395,-0.021258193903669897,-0.004949192866606,-0.005533480514425593,-0.016073213153583676,-0.01623434340614338,0.01084696889999992,0.0044108652999999,-0.016769098113214365,-0.02089885907723965,-0.017146849131964514,-0.023682910110486954
2005-04-01,-0.025206,-0.02659,0.0021,-0.019024741788575716,-0.01998617554200044,-0.009465983087769358,-0.011504002279996817,-0.012096724211156484,-0.02265113589237422,-0.021178387204301097,-0.02120045376344093,0.0030369757434547395,-0.007059417463956996,-0.01539192609862361,-0.01745517353330517
2005-05-01,0.037954,0.036151,0.0024,0.03714703167589728,0.03518256936841979,0.0822116992195796,0.0691233864450107,0.0770481533353391,0.06881481949418755,0.0009090705755319117,0.0008375461553191688,0.057222085214155394,0.052533980525073076,0.05962080884476517,0.0559624640646208
2005-06-01,0.011529,0.009905,0.0023,0.04476203204438489,0.039329724248089004,0.0781498972774497,0.07302025798804634,0.07565398870692719,0.07357712521813253,0.0525980522391305,0.05223360228478269,0.06292625615744707,0.062306649888753896,0.05356849814447395,0.05047426461863913
2005-07-01,0.043357,0.042251,0.0024,0.02378076414839181,0.02312500076754387,0.06088124085541069,0.06004957972506442,0.07256533580454305,0.07191050120484199,0.05061340972584283,0.05057427333932596,0.07732345945693209,0.07592086369273798,0.07348347911875819,0.07241829414803225
2005-08-01,-0.005958,-0.007776,0.003,0.006167856425059126,0.0006873637574467129,-0.035845761701504775,-0.03585403125856046,-0.028850466607726832,-0.02900893184790565,0.04131429310333323,0.04115705601222208,-0.03329950204597121,-0.03375610730298051,-0.016052591724542986,-0.022257560445335556
2005-09-01,0.0106,0.009331,0.0029,0.04493575507483971,0.03680529320548942,0.04739135076487666,0.047351620649215276,0.04049634199999996,0.04037925036549783,0.12247104350000004,0.11788143039999999,0.06440426764505824,0.06331337332174325,0.02433119438002662,0.02271363804295845
2005-10-01,-0.020866,-0.021974,0.0027,-0.02050611900915722,-0.021508507641008534,-0.021290165149392748,-0.021522674242721695,-0.007022926655797734,-0.0070700828133423155,0.05946995620689677,0.05943253089655176,0.02131064308521391,0.02131064308521391,-0.0010100814131775993,-0.0017624233215113305
2005-11-01,0.040326,0.038073,0.0031,0.06364519754895959,0.056369392326193424,0.05164580253638129,0.049307515888149744,0.06152070209373117,0.06146236607551092,0.10085599712499982,0.10079663712857134,0.06817989684168846,0.06817989684168846,0.04784507195163368,0.043724211845333816
2005-12-01,0.003458,0.001884,0.0032,0.01802325217135925,0.01542243237771812,0.02638712166012147,0.026027103033648302,0.030998824401020197,0.030814869783289955,0.07863226739999996,0.0781934284000001,0.024561943482626525,0.024561943482626525,0.0349772508581625,0.033271473387633366
2006-01-01,0.040072,0.038966,0.0035,0.024755378409353712,0.02470370068013339,0.023149517411562126,0.02303172445702617,0.03279142995134432,0.03116792882404762,-0.0029336174620688826,-0.002966310455172483,0.012200701094571498,0.012184284008979196,0.007412924805360266,0.006900464493587943
2006-02-01,-0.001639,-0.003552,0.0034,0.02119924674946061,0.012968897402668933,0.02935040870924599,0.02932057519472342,0.04864699856482413,0.04858896844422089,-0.010371680694117646,-0.010563795117647157,0.04396813283636125,0.04390226450228396,0.03351145454780324,0.029711643349496608
2006-03-01,0.019065,0.017598,0.0037,0.06489306900016523,0.05966250550156893,0.0345600122869969,0.0344009110921184,0.023908086840205955,0.023745106932158144,0.047349181399999996,0.0413685305,0.026896549791569857,0.022906970088477197,0.03749452137254883,0.029431417084967215
2006-04-01,0.013,0.01153,0.0036,0.013237718097136586,0.012756565332256775,-0.018200846019815753,-0.01876708158898388,-0.012130645574480403,-0.015947258751405347,-0.009519284999999988,-0.009558807999999974,0.0008887418851037943,-0.007765522911893696,-0.0055212082473078405,-0.00977660885211551
2006-05-01,-0.031032,-0.03301,0.0043,-0.07752378257703885,-0.07998488966671025,-0.07605236296530116,-0.0919025699590349,-0.08632799590185636,-0.10028676988509433,-0.13011645622222212,-0.13017103566666666,-0.1026579330191395,-0.10632763763184216,-0.09803194381976776,-0.10116107486059822
