date,australia_ret_with_div_aud,australia_ret_without_div_aud,france_ret_with_div_eur,france_ret_without_div_eur,germany_ret_with_div_eur,germany_ret_without_div_eur,japan_ret_with_div_jpy,japan_ret_without_div_jpy,switzerland_ret_with_div_chf,switzerland_ret_without_div_chf,united kingdom_ret_with_div_gbp,united kingdom_ret_without_div_gbp,us_ret_with_div_usd,us_ret_without_div_usd,rf_usd
2010-05-01,-0.078009775,-0.081138972,-0.052834689,-0.071902612,-0.028603155,-0.042825854,-0.104793454,-0.104899825,-0.038863806,-0.04374968,-0.065125783,-0.068660996,-0.07924,-0.081328,0.0001
2010-06-01,-0.027210997,-0.030019002,-0.01477177,-0.019194289,0.0044661527,0.0024919054,-0.036724535,-0.037485732,-0.020522151,-0.020818093,-0.042480446,-0.04599878,-0.05078,-0.05252,0.0001
2010-07-01,0.0420599102,0.0409247205,0.0550793258,0.0510092631,0.0306506986,0.0300257866,0.0077914684,0.0077238394,0.0279338057,0.0261748163,0.0724931307,0.0710266742,0.07036,0.068664,0.0001
2010-08-01,-0.008569778,-0.017254234,-0.033109044,-0.034465424,-0.029177182,-0.029223075,-0.051184422,-0.051566429,-0.007954213,-0.008257891,-0.002288753,-0.006911214,-0.042863,-0.044989,0.0001
2010-09-01,0.0496772967,0.0436714069,0.0655066706,0.0652472523,0.0555817752,0.055473501,0.0382382212,0.0301248061,0.0295461716,0.0293369167,0.0613163286,0.0596895276,0.091628,0.089747,0.0001
2010-10-01,0.01991235,0.0188306501,0.0365337965,0.0334805038,0.0547751814,0.0547546414,-0.023876034,-0.023954289,0.0229360803,0.0229085173,0.0191190992,0.0175530819,0.038591,0.037071,0.0001
2010-11-01,-0.006778796,-0.012625109,-0.047247864,-0.051209129,0.0063490846,0.0063375646,0.061165762,0.0610631751,-0.016730284,-0.016730284,-0.025856806,-0.028561117,0.005117,0.002917,0.0001
2010-12-01,0.0387365791,0.0321364395,0.0496917909,0.0483946542,0.0417453291,0.0417311289,0.0442699737,0.043265473,0.0271627261,0.0271627261,0.0674280574,0.0661982912,0.067182,0.06485,0.0001
2011-01-01,0.0025469349,0.0023797747,0.0383535834,0.0382821535,0.0171133288,0.0144201939,0.0138522131,0.0137732052,0.0007421155,0.0006534235,-0.003603124,-0.004443245,0.019183,0.018231,0.0001
2011-02-01,0.0224196522,0.0144404875,0.0262045002,0.025905954,0.0221278183,0.0220135197,0.0443956431,0.0439269147,0.0267781355,0.0205384317,0.0238794962,0.0195356738,0.038156,0.036223,0.0001
2011-03-01,0.0065870793,0.0009449531,-0.025961926,-0.026012028,-0.018016651,-0.018239335,-0.071591217,-0.081199248,-0.022612334,-0.024818281,-0.013941317,-0.018222496,0.003341,0.001758,0.0001
2011-04-01,-0.005761256,-0.006179795,0.0332429364,0.0288918718,0.0520666245,0.0459488734,-0.015948581,-0.016009067,0.0349460136,0.0207702376,0.0302868511,0.027811871,0.028597,0.027483,0.0
2011-05-01,-0.020852898,-0.026906979,0.0041236156,-0.013541133,-0.018575462,-0.036139383,-0.012148979,-0.012389365,-0.00417497,-0.010915959,-0.003721825,-0.007726911,-0.014948,-0.016956,0.0
2011-06-01,-0.023332577,-0.02873976,-0.002411074,-0.008256518,0.0084804323,0.0069977395,0.0129904417,0.0121423574,-0.056280566,-0.056716251,-0.006060529,-0.009463038,-0.018447,-0.020211,0.0
2011-07-01,-0.032607283,-0.032894975,-0.05840608,-0.061095275,-0.032243873,-0.032986854,-0.008533094,-0.008613873,-0.074742792,-0.074994159,-0.021476067,-0.022831372,-0.022534,-0.023674,0.0
2011-08-01,-0.01969601,-0.028995652,-0.099767529,-0.099946153,-0.164124072,-0.16420982,-0.076559461,-0.076950989,-0.053591597,-0.054211307,-0.072552874,-0.078602413,-0.057564,-0.059704,0.0001
2011-09-01,-0.062471041,-0.068465887,-0.08143275,-0.084399742,-0.05708379,-0.057188617,0.0005913729,-0.008564316,-0.012067359,-0.012394494,-0.04377643,-0.045549996,-0.084983,-0.086672,0.0
2011-10-01,0.0711414371,0.0703490282,0.0736893009,0.0732946568,0.1003123436,0.1002938346,0.0016052101,0.0015050178,0.0440427786,0.0439774684,0.072908907,0.0714209809,0.114146,0.112735,0.0
2011-11-01,-0.033335315,-0.039727001,-0.035496925,-0.038179699,-0.011160647,-0.011177339,-0.045460704,-0.045559854,-0.019627337,-0.01992295,-0.00763799,-0.014151825,-0.00627,-0.008937,0.0
2011-12-01,-0.015654624,-0.018885096,-0.003439881,-0.006598901,-0.025171335,-0.025197266,0.0043479464,0.0031531302,0.0347688828,0.0347688828,0.0056151635,0.005016353,0.003676,0.001428,0.0
2012-01-01,0.0504373943,0.0503590568,0.0518858922,0.051788951,0.0868415768,0.0833589011,0.0316824498,0.0315945233,0.0155200178,0.0154315703,0.0285561018,0.0273228834,0.054106,0.05296,0.0
2012-02-01,0.0251323204,0.0152628828,0.0458546249,0.0445458343,0.0553649618,0.0553462858,0.1013296977,0.1007308631,0.0357264141,0.0280968409,0.0438504342,0.0374731162,0.041225,0.038953,0.0
2012-03-01,0.0129151957,0.0085193657,-0.002478868,-0.003638776,0.0121958254,0.0118216847,0.0355040518,0.0247004936,0.0217065614,0.0193907846,-0.004073746,-0.008218336,0.02402,0.022138,0.0
2012-04-01,0.0109556956,0.0104007487,-0.046599243,-0.052528631,-0.015942974,-0.026744832,-0.053717951,-0.05377409,-0.009363027,-0.027171855,-0.006313181,-0.009013211,-0.006829,-0.008046,0.0
