date,country,currency,mportret,mportretx
2017-04-28,UNITED KINGDOM,GBP,0.0014094086,-0.001281378
2017-05-31,UNITED KINGDOM,GBP,0.0454533416,0.0400755916
2017-06-30,UNITED KINGDOM,GBP,-0.028562042,-0.030744245
2017-07-31,UNITED KINGDOM,GBP,0.0099461172,0.0092708817
2017-08-31,UNITED KINGDOM,GBP,0.0134447122,0.0075741901
2017-09-29,UNITED KINGDOM,GBP,-0.003561924,-0.004772126
2017-10-31,UNITED KINGDOM,GBP,0.0155424196,0.0141147124
2017-11-30,UNITED KINGDOM,GBP,-0.018920542,-0.021526652
2017-12-29,UNITED KINGDOM,GBP,0.043934198,0.0431952097
2018-01-31,UNITED KINGDOM,GBP,-0.019754553,-0.020276835
2018-02-28,UNITED KINGDOM,GBP,-0.029582605,-0.034041329
2018-03-29,UNITED KINGDOM,GBP,-0.018913094,-0.021462425
2018-04-30,UNITED KINGDOM,GBP,0.0595139006,0.0568482131
2018-05-31,UNITED KINGDOM,GBP,0.0237113933,0.0190404112
2018-06-29,UNITED KINGDOM,GBP,-0.001965577,-0.002831833
2018-07-31,UNITED KINGDOM,GBP,0.0134833035,0.0129734925
2018-08-31,UNITED KINGDOM,GBP,-0.028727129,-0.035812183
2018-09-28,UNITED KINGDOM,GBP,0.0055922765,0.0047002282
2018-10-31,UNITED KINGDOM,GBP,-0.053768726,-0.056427818
2018-11-30,UNITED KINGDOM,GBP,-0.016777592,-0.020609561
2018-12-31,UNITED KINGDOM,GBP,-0.042047218,-0.043578283
2019-01-31,UNITED KINGDOM,GBP,0.0457887963,0.0447753766
2019-02-28,UNITED KINGDOM,GBP,0.0268920393,0.0205260901
2019-03-29,UNITED KINGDOM,GBP,0.028515386,0.023778066
2019-04-30,UNITED KINGDOM,GBP,0.0243486898,0.0181464052
2019-05-31,UNITED KINGDOM,GBP,-0.030318499,-0.03558228
2019-06-28,UNITED KINGDOM,GBP,0.0317252322,0.0288670933
2019-07-31,UNITED KINGDOM,GBP,0.0189141092,0.0177116943
2019-08-30,UNITED KINGDOM,GBP,-0.034319962,-0.043100134
2019-09-30,UNITED KINGDOM,GBP,0.0311525882,0.0299117509
2019-10-31,UNITED KINGDOM,GBP,-0.010083262,-0.013106298
2019-11-29,UNITED KINGDOM,GBP,0.0228168505,0.0180661341
2019-12-31,UNITED KINGDOM,GBP,0.0349156881,0.0334416289
2020-01-31,UNITED KINGDOM,GBP,-0.028942905,-0.03009021
2020-02-28,UNITED KINGDOM,GBP,-0.090159917,-0.093868821
2020-03-31,UNITED KINGDOM,GBP,-0.149746473,-0.152461983
2020-04-30,UNITED KINGDOM,GBP,0.0497895242,0.0472617019
2020-05-29,UNITED KINGDOM,GBP,0.0310442965,0.0278673522
2020-06-30,UNITED KINGDOM,GBP,0.0135153426,0.0122797226
2020-07-31,UNITED KINGDOM,GBP,-0.034777347,-0.036863413
2020-08-28,UNITED KINGDOM,GBP,0.0223986844,0.0161329769
2020-09-30,UNITED KINGDOM,GBP,-0.013661643,-0.014318639
2020-10-30,UNITED KINGDOM,GBP,-0.03520839,-0.037024599
2020-11-30,UNITED KINGDOM,GBP,0.1230211617,0.1201440966
2020-12-31,UNITED KINGDOM,GBP,0.037437017,0.0354769186
2021-01-29,UNITED KINGDOM,GBP,-0.00634036,-0.006907772
2021-02-26,UNITED KINGDOM,GBP,0.0167710259,0.0109003537
2021-03-31,UNITED KINGDOM,GBP,0.0485907873,0.0429337046
2021-04-30,UNITED KINGDOM,GBP,0.0429511598,0.0394711221
2021-05-28,UNITED KINGDOM,GBP,0.0131379623,0.0102123327
2021-06-30,UNITED KINGDOM,GBP,-0.000629589,-0.00261268
2021-07-30,UNITED KINGDOM,GBP,0.0080699478,0.0058508701
2021-08-31,UNITED KINGDOM,GBP,0.0220361071,0.0128801324
2021-09-30,UNITED KINGDOM,GBP,-0.015858545,-0.017769511
2021-10-29,UNITED KINGDOM,GBP,0.0118294925,0.0109805268
2021-11-30,UNITED KINGDOM,GBP,-0.017802087,-0.020334651
2021-12-31,UNITED KINGDOM,GBP,0.0414507347,0.0387244832
2022-01-31,UNITED KINGDOM,GBP,-0.005734999,-0.006378848
2022-02-28,UNITED KINGDOM,GBP,-0.008980596,-0.012314665
2022-03-31,UNITED KINGDOM,GBP,0.0148725282,0.0078150551
2022-04-29,UNITED KINGDOM,GBP,0.0002329202,-0.003737629
2022-05-31,UNITED KINGDOM,GBP,0.0031744343,-0.001091816
2022-06-30,UNITED KINGDOM,GBP,-0.054123036,-0.056636146
2022-07-29,UNITED KINGDOM,GBP,0.0406470397,0.0314397605
2022-08-31,UNITED KINGDOM,GBP,-0.022376476,-0.031211137
2022-09-30,UNITED KINGDOM,GBP,-0.061669932,-0.063394987
2022-10-31,UNITED KINGDOM,GBP,0.0303679925,0.0292141429
2022-11-30,UNITED KINGDOM,GBP,0.0692789768,0.0656692443
2022-12-30,UNITED KINGDOM,GBP,-0.01488529,-0.016337279
2023-01-31,UNITED KINGDOM,GBP,0.0429881472,0.0423456953
2023-02-28,UNITED KINGDOM,GBP,0.0200164146,0.0159161344
2023-03-31,UNITED KINGDOM,GBP,-0.029585117,-0.035813307
2023-04-28,UNITED KINGDOM,GBP,0.0310056134,0.0268350461
2023-05-31,UNITED KINGDOM,GBP,-0.046992745,-0.05079719
2023-06-30,UNITED KINGDOM,GBP,0.0048563883,0.0021957753
2023-07-31,UNITED KINGDOM,GBP,0.0257132246,0.0240647323
2023-08-31,UNITED KINGDOM,GBP,-0.021732061,-0.029674184
2023-09-29,UNITED KINGDOM,GBP,0.0221365256,0.0206198279
2023-10-31,UNITED KINGDOM,GBP,-0.041844901,-0.042825625
2023-11-30,UNITED KINGDOM,GBP,0.0285918231,0.0237635166
2023-12-29,UNITED KINGDOM,GBP,0.0440397562,0.0427604015
2024-01-31,UNITED KINGDOM,GBP,-0.011893761,-0.012920309
2024-02-29,UNITED KINGDOM,GBP,0.0053764648,0.0009335002
2024-03-28,UNITED KINGDOM,GBP,0.0468666183,0.0407574297
2024-04-30,UNITED KINGDOM,GBP,0.0265921178,0.0229765656
2024-05-31,UNITED KINGDOM,GBP,0.0265149158,0.0203920036
2024-06-28,UNITED KINGDOM,GBP,-0.016603219,-0.019399441
2024-07-31,UNITED KINGDOM,GBP,0.0334332869,0.0326108964
2024-08-30,UNITED KINGDOM,GBP,0.0084252144,0.001457034
2024-09-30,UNITED KINGDOM,GBP,-0.01715444,-0.018879687
2024-10-31,UNITED KINGDOM,GBP,-0.017103961,-0.018265603
2024-11-29,UNITED KINGDOM,GBP,0.0261114472,0.0219719954
2024-12-31,UNITED KINGDOM,GBP,-0.01138122,-0.01259623
