month,currency,mportret,mportretx,USD_per_GBP
2011-04,GBP,0.04960683341669,0.045553063510899994,1.6379
2011-05,GBP,-0.00607848459,-0.012619591045200001,1.6332
2011-06,GBP,-0.0098295719851,-0.0153481013322,1.6219
2011-07,GBP,-0.0347010290586,-0.036890930877599995,1.6158
2011-08,GBP,-0.1186674807144,-0.1285621067028,1.6356
2011-09,GBP,-0.06903980775299999,-0.0718368986916,1.5771
2011-10,GBP,0.11496276455759999,0.11261660268312,1.5768
2011-11,GBP,-0.012072606994,-0.022368374595,1.5806
2011-12,GBP,0.00875235534745,0.0078189894211,1.5587
2012-01,GBP,0.04433049243432,0.04241604419016,1.5524
2012-02,GBP,0.06930122620968,0.05922251284248001,1.5804
2012-03,GBP,-0.0064462956704,-0.0130046948864,1.5824
2012-04,GBP,-0.010101089600000002,-0.014421137600000002,1.6
2012-05,GBP,-0.0992278119804,-0.10731625013280001,1.5924
2012-06,GBP,0.07876972109916,0.07344640049751999,1.5556
2012-07,GBP,0.02010400110415,0.019268145044139998,1.5593
2012-08,GBP,0.026815250762720004,0.01921263161342,1.5722
2012-09,GBP,0.01932105615198,0.01739521731002,1.6126
2012-10,GBP,0.018832489176,0.016174738536000002,1.608
2012-11,GBP,0.03330302798496,0.02743022512896,1.5968
2012-12,GBP,0.0170179498172,0.015304297882900001,1.6145
2013-01,GBP,0.09866952291445,0.0975991119717,1.5965
2013-02,GBP,0.04155356826312,0.035822223500340006,1.5474
2013-03,GBP,0.0186073006704,0.0154259507324,1.508
2013-04,GBP,0.012286562897289998,0.00961567255491,1.5311
2013-05,GBP,0.039067136947770004,0.03375976248852,1.5297
2013-06,GBP,-0.0720860147667,-0.07654757115989999,1.5493
2013-07,GBP,0.10023834872399,0.09934967352554999,1.5179
2013-08,GBP,-0.033618989138,-0.040165787777499996,1.5505
2013-09,GBP,0.018265690350899998,0.01746281336625,1.5885
2013-10,GBP,0.04324660989888,0.041368788501599994,1.6098
2013-11,GBP,-0.01209532786,-0.0160882792,1.61
2013-12,GBP,0.02914694582334,0.027851099508510002,1.6383
2014-01,GBP,-0.049947929964,-0.050990387085,1.647
2014-02,GBP,0.08017693963152,0.07510560473436,1.6558
2014-03,GBP,-0.0486296868176,-0.05180405291680001,1.6624
2014-04,GBP,0.02263482804372,0.019058112435240002,1.6748
2014-05,GBP,0.02904176071944,0.024972750698279998,1.6842
2014-06,GBP,-0.0328172850192,-0.037165229634,1.6908
2014-07,GBP,-0.016775843868,-0.018814636971199998,1.7066
2014-08,GBP,0.031979129932,0.025339481807999997,1.67
2014-09,GBP,-0.041581204029,-0.042199311789,1.629
2014-10,GBP,-0.0106168094892,-0.011921299781399998,1.6074
2014-11,GBP,0.0447422418366,0.040798042797119995,1.5771
2014-12,GBP,-0.025065511393600002,-0.0262868666328,1.5644
2015-01,GBP,0.03856737416608,0.037862626268300004,1.5142
2015-02,GBP,0.04761590981912,0.04483777321996,1.5329
2015-03,GBP,-0.0286100962974,-0.032320416231,1.4958
2015-04,GBP,0.042828573043199994,0.04030344465048,1.4968
2015-05,GBP,0.009944152223040001,0.006185019792000001,1.5456
2015-06,GBP,-0.0802178345496,-0.08158089186720001,1.5576
2015-07,GBP,0.0344527063076,0.033847533250400005,1.556
2015-08,GBP,-0.0862860419462,-0.09164050275940001,1.5578
2015-09,GBP,-0.0286291454338,-0.028965728641000003,1.5338
2015-10,GBP,0.06268842878628,0.060481390095619994,1.5343
2015-11,GBP,0.0093527411506,0.007341958226140001,1.5194
2015-12,GBP,-0.018905948593100002,-0.0197721964542,1.4981
2016-01,GBP,-0.043970531948,-0.044872789455200006,1.4392
2016-02,GBP,0.00045693403909999997,-0.0026609609060000003,1.429
2016-03,GBP,0.018260267052820002,0.014762234018550001,1.4249
2016-04,GBP,0.009844394404679999,0.0068831314152299995,1.4319
2016-05,GBP,0.013018089081559998,0.009584224640719998,1.4524
2016-06,GBP,0.01372027269032,0.01197040527074,1.4197
2016-07,GBP,0.05235314346108,0.0513744119658,1.3134
2016-08,GBP,0.02743348194708,0.01997788809522,1.3101
2016-09,GBP,0.0125885059218,0.011549675655000001,1.314
2016-10,GBP,-0.000368641107,-0.0026948472660000005,1.233
2016-11,GBP,-0.029821361942400003,-0.0328422011904,1.2432
2016-12,GBP,0.06228829667619,0.06014254387419,1.2483
2017-01,GBP,-0.0021747258197,-0.0028232055418,1.2367
2017-02,GBP,0.0413719063653,0.0343109766174,1.2495
2017-03,GBP,0.01610675718925,0.01489809923471,1.2347
2017-04,GBP,0.00178135152954,-0.0016195336542,1.2639
2017-05,GBP,0.05876662535464,0.05181373237964,1.2929
2017-06,GBP,-0.036587975801999996,-0.039383377845,1.281
2017-07,GBP,0.01292597391312,0.012048437857320002,1.2996
2017-08,GBP,0.01741359124144,0.00981009101752,1.2952
2017-09,GBP,-0.004751606616,-0.006366016084,1.334
2017-10,GBP,0.02051910235592,0.01863424331048,1.3202
2017-11,GBP,-0.0250072803614,-0.028451775948400003,1.3217
2017-12,GBP,0.0588893989992,0.05789885908188,1.3404
2018-01,GBP,-0.027308694067200004,-0.028030696704,1.3824
2018-02,GBP,-0.0413002748405,-0.0475250994169,1.3961
2018-03,GBP,-0.026432940174399996,-0.02999588518,1.3976
2018-04,GBP,0.08378962065474,0.08003659922349,1.4079
2018-05,GBP,0.0319392467751,0.0256474338864,1.347
2018-06,GBP,-0.0026130380638,-0.0037646387902,1.3294
2018-07,GBP,0.0177467240667,0.0170757108285,1.3162
2018-08,GBP,-0.0369947967262,-0.0461189292674,1.2878
2018-09,GBP,0.0073068684749,0.0061413181661199995,1.3066
2018-10,GBP,-0.06996386627119999,-0.07342387678159999,1.3012
2018-11,GBP,-0.021643093680000003,-0.02658633369,1.29
2018-12,GBP,-0.0532485968752,-0.0551875375912,1.2664
2019-01,GBP,0.05907212610663,0.05776471335166,1.2901
2019-02,GBP,0.035002678352880005,0.026716758874160005,1.3016
2019-03,GBP,0.0375462087462,0.0313085795022,1.3167
2019-04,GBP,0.03172390794042,0.02364295133508,1.3029
2019-05,GBP,-0.0389744304645,-0.04574102094,1.2855
2019-06,GBP,0.040211731813500004,0.036589040757750005,1.2675
2019-07,GBP,0.023568871474120002,0.02207054226723,1.2461
2019-08,GBP,-0.041733073792,-0.052409762943999995,1.216
2019-09,GBP,0.038532636344580005,0.036997844688210005,1.2369
2019-10,GBP,-0.012762384713400002,-0.0165886413786,1.2657
2019-11,GBP,0.0293972301842,0.02327640717444,1.2884
2019-12,GBP,0.04577097553029,0.043838631325009994,1.3109
2020-01,GBP,-0.037845742578000004,-0.039345958596,1.3076
2020-02,GBP,-0.1167841404901,-0.1215882838413,1.2953
2020-03,GBP,-0.1852214124537,-0.1885802267727,1.2369
2020-04,GBP,0.061838589056399995,0.0586990337598,1.242
2020-05,GBP,0.0381906935543,0.03428241667644,1.2302
2020-06,GBP,0.01692526353798,0.015377896611979998,1.2523
2020-07,GBP,-0.0441707084247,-0.0468202208513,1.2701
2020-08,GBP,0.02943859090692,0.021203571539669997,1.3143
2020-09,GBP,-0.0176877291921,-0.018538341913299998,1.2947
2020-10,GBP,-0.04570049022,-0.048057929501999996,1.298
2020-11,GBP,0.16236332921166002,0.15856617869268,1.3198
2020-12,GBP,0.0502928886378,0.04765969244723999,1.3434
2021-01,GBP,-0.008648885076,-0.009422891785200001,1.3641
2021-02,GBP,0.02325638161553,0.015115520475790001,1.3867
2021-03,GBP,0.06736140843399001,0.05951899468698,1.3863
2021-04,GBP,0.059465880743100004,0.05464776854745,1.3845
2021-05,GBP,0.01850350610332,0.01438304937468,1.4084
2021-06,GBP,-0.0008829985725,-0.0036642837,1.4025
2021-07,GBP,0.01114298392224,0.00807888143408,1.3808
2021-08,GBP,0.03040321696587,0.017770718672279997,1.3797
2021-09,GBP,-0.021776953994000002,-0.024401092505200003,1.3732
2021-10,GBP,0.016207587674250002,0.01504441976868,1.3701
2021-11,GBP,-0.0239669497281,-0.0273765406413,1.3463
2021-12,GBP,0.05514191237141,0.051515180000960004,1.3303
2022-01,GBP,-0.0077737911445,-0.008646528464,1.3555
2022-02,GBP,-0.012159726984000002,-0.016674056410000002,1.354
2022-03,GBP,0.01958414513376,0.010290864555679999,1.3168
2022-04,GBP,0.00030123569466,-0.004833875585699999,1.2933
2022-05,GBP,0.00394836138234,-0.0013580007408,1.2438
2022-06,GBP,-0.066679580352,-0.069775731872,1.232
2022-07,GBP,0.048723606488390005,0.03768684091135,1.1987
2022-08,GBP,-0.026813731190799998,-0.0374003054671,1.1983
2022-09,GBP,-0.069810363024,-0.07176312528399999,1.132
2022-10,GBP,0.034413009101,0.03310546673428,1.1332
2022-11,GBP,0.08124345609336,0.07701032279061,1.1727
2022-12,GBP,-0.01813028322,-0.019898805821999998,1.218
2023-01,GBP,0.05260459572864,0.05181842733861,1.2237
2023-02,GBP,0.02418783540264,0.019233056808959998,1.2084
2023-03,GBP,-0.0359104150146,-0.043470192036600006,1.2138
2023-04,GBP,0.038589586437639996,0.03339889837606,1.2446
2023-05,GBP,-0.058665742858000004,-0.06341521199599999,1.2484
2023-06,GBP,0.0061321615064099996,0.00277260547131,1.2627
2023-07,GBP,0.03315206047678,0.031026659354389995,1.2893
2023-08,GBP,-0.0276127567066,-0.0377040181904,1.2706
2023-09,GBP,0.02740723234536,0.025529408922989997,1.2381
2023-10,GBP,-0.0509461669675,-0.0521401984375,1.2175
2023-11,GBP,0.03555965038947,0.02955468559542,1.2437
2023-12,GBP,0.05574111942234,0.054121840178550006,1.2657
2024-01,GBP,-0.0151062658461,-0.0164100844609,1.2701
2024-02,GBP,0.0067904750424,0.0011790107526,1.263
2024-03,GBP,0.05958153184479001,0.051814920377610006,1.2713
2024-04,GBP,0.03328535385026,0.028759767161519997,1.2517
2024-05,GBP,0.03350424760488,0.02576733574896,1.2636
2024-06,GBP,-0.0211126532804,-0.024668329175600003,1.2716
2024-07,GBP,0.043028640240299995,0.0419702236668,1.287
2024-08,GBP,0.0109064400408,0.001886130513,1.2945
2024-09,GBP,-0.022676454236000003,-0.0249570582453,1.3219
2024-10,GBP,-0.022308696332300003,-0.023823825992899998,1.3043
2024-11,GBP,0.03326076144336,0.02798792774052,1.2738
2024-12,GBP,-0.014393828933999998,-0.015930452081,1.2647
